

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet16_1
optimizer          : adagrad
learning_rate      : 0.1
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet16_1_5

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [2, 1, 2, 2] 
C (# Channels)	: [64, 128, 256, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 1.98189807 ;	Train Accuracy: 27.338 ;	Test Loss: 1.98100448 ; 	Test Accuracy: 32.080 ;
Epoch: 29 ;	Train Loss: 0.41260097 ;	Train Accuracy: 85.828 ;	Test Loss: 0.57873165 ; 	Test Accuracy: 81.100 ;
Epoch: 30 ;	Train Loss: 0.40615004 ;	Train Accuracy: 86.070 ;	Test Loss: 0.53413705 ; 	Test Accuracy: 82.120 ;
Epoch: 31 ;	Train Loss: 0.40405473 ;	Train Accuracy: 86.056 ;	Test Loss: 0.51029153 ; 	Test Accuracy: 82.660 ;
Epoch: 32 ;	Train Loss: 0.39840563 ;	Train Accuracy: 86.066 ;	Test Loss: 0.49101846 ; 	Test Accuracy: 83.540 ;
Epoch: 33 ;	Train Loss: 0.39309070 ;	Train Accuracy: 86.504 ;	Test Loss: 0.50116191 ; 	Test Accuracy: 83.320 ;
Epoch: 34 ;	Train Loss: 0.39140952 ;	Train Accuracy: 86.548 ;	Test Loss: 0.47451882 ; 	Test Accuracy: 84.360 ;
Epoch: 35 ;	Train Loss: 0.38444495 ;	Train Accuracy: 86.890 ;	Test Loss: 0.46872265 ; 	Test Accuracy: 84.280 ;
Epoch: 36 ;	Train Loss: 0.37857651 ;	Train Accuracy: 86.850 ;	Test Loss: 0.47511179 ; 	Test Accuracy: 83.870 ;
Epoch: 37 ;	Train Loss: 0.37497720 ;	Train Accuracy: 87.028 ;	Test Loss: 0.59383390 ; 	Test Accuracy: 81.050 ;
Epoch: 38 ;	Train Loss: 0.37331776 ;	Train Accuracy: 87.292 ;	Test Loss: 0.49084896 ; 	Test Accuracy: 83.740 ;
Epoch: 39 ;	Train Loss: 0.36772678 ;	Train Accuracy: 87.428 ;	Test Loss: 0.52249195 ; 	Test Accuracy: 82.390 ;
Epoch: 40 ;	Train Loss: 0.36511889 ;	Train Accuracy: 87.568 ;	Test Loss: 0.44074549 ; 	Test Accuracy: 85.650 ;
Epoch: 41 ;	Train Loss: 0.36320211 ;	Train Accuracy: 87.470 ;	Test Loss: 0.53409223 ; 	Test Accuracy: 82.480 ;
Epoch: 42 ;	Train Loss: 0.36104294 ;	Train Accuracy: 87.534 ;	Test Loss: 0.46596477 ; 	Test Accuracy: 84.740 ;
Epoch: 43 ;	Train Loss: 0.35367092 ;	Train Accuracy: 87.784 ;	Test Loss: 0.52266879 ; 	Test Accuracy: 82.590 ;
Epoch: 44 ;	Train Loss: 0.35193801 ;	Train Accuracy: 87.980 ;	Test Loss: 0.46925440 ; 	Test Accuracy: 84.260 ;
Epoch: 45 ;	Train Loss: 0.34987022 ;	Train Accuracy: 88.016 ;	Test Loss: 0.50843673 ; 	Test Accuracy: 83.070 ;
Epoch: 46 ;	Train Loss: 0.34804278 ;	Train Accuracy: 87.980 ;	Test Loss: 0.52537019 ; 	Test Accuracy: 82.880 ;
Epoch: 47 ;	Train Loss: 0.34497366 ;	Train Accuracy: 88.198 ;	Test Loss: 0.55475681 ; 	Test Accuracy: 81.890 ;
Epoch: 48 ;	Train Loss: 0.33996460 ;	Train Accuracy: 88.346 ;	Test Loss: 0.55920786 ; 	Test Accuracy: 81.740 ;
Epoch: 49 ;	Train Loss: 0.33752461 ;	Train Accuracy: 88.418 ;	Test Loss: 0.48010149 ; 	Test Accuracy: 84.360 ;
Epoch: 50 ;	Train Loss: 0.33154911 ;	Train Accuracy: 88.682 ;	Test Loss: 0.43961099 ; 	Test Accuracy: 85.710 ;


Best Accuracy: 85.710

Saving Error Plot...

