

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet16_1
optimizer          : adadelta
learning_rate      : 0.1
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet16_1_7

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [2, 1, 2, 2] 
C (# Channels)	: [64, 128, 256, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 1.40389539 ;	Train Accuracy: 48.596 ;	Test Loss: 1.72079678 ; 	Test Accuracy: 45.800 ;
Epoch: 31 ;	Train Loss: 0.11505616 ;	Train Accuracy: 95.814 ;	Test Loss: 0.38557517 ; 	Test Accuracy: 88.920 ;
Epoch: 32 ;	Train Loss: 0.10797092 ;	Train Accuracy: 96.256 ;	Test Loss: 0.33436652 ; 	Test Accuracy: 90.320 ;
Epoch: 33 ;	Train Loss: 0.10643344 ;	Train Accuracy: 96.232 ;	Test Loss: 0.38697128 ; 	Test Accuracy: 89.170 ;
Epoch: 34 ;	Train Loss: 0.10742920 ;	Train Accuracy: 96.220 ;	Test Loss: 0.42546332 ; 	Test Accuracy: 88.060 ;
Epoch: 35 ;	Train Loss: 0.09851995 ;	Train Accuracy: 96.624 ;	Test Loss: 0.36958588 ; 	Test Accuracy: 89.590 ;
Epoch: 36 ;	Train Loss: 0.09388985 ;	Train Accuracy: 96.724 ;	Test Loss: 0.38807046 ; 	Test Accuracy: 89.300 ;
Epoch: 37 ;	Train Loss: 0.09241957 ;	Train Accuracy: 96.824 ;	Test Loss: 0.35726442 ; 	Test Accuracy: 90.270 ;
Epoch: 38 ;	Train Loss: 0.09062820 ;	Train Accuracy: 96.848 ;	Test Loss: 0.38204174 ; 	Test Accuracy: 89.340 ;
Epoch: 39 ;	Train Loss: 0.08609065 ;	Train Accuracy: 96.986 ;	Test Loss: 0.40318215 ; 	Test Accuracy: 89.220 ;
Epoch: 40 ;	Train Loss: 0.08334451 ;	Train Accuracy: 97.068 ;	Test Loss: 0.36989865 ; 	Test Accuracy: 89.980 ;
Epoch: 41 ;	Train Loss: 0.08186862 ;	Train Accuracy: 97.236 ;	Test Loss: 0.35040471 ; 	Test Accuracy: 90.580 ;
Epoch: 42 ;	Train Loss: 0.07945575 ;	Train Accuracy: 97.236 ;	Test Loss: 0.36362192 ; 	Test Accuracy: 89.840 ;
Epoch: 43 ;	Train Loss: 0.07609572 ;	Train Accuracy: 97.428 ;	Test Loss: 0.41891272 ; 	Test Accuracy: 88.880 ;
Epoch: 44 ;	Train Loss: 0.07689860 ;	Train Accuracy: 97.324 ;	Test Loss: 0.35025281 ; 	Test Accuracy: 90.210 ;
Epoch: 45 ;	Train Loss: 0.07218827 ;	Train Accuracy: 97.502 ;	Test Loss: 0.36675943 ; 	Test Accuracy: 90.170 ;
Epoch: 46 ;	Train Loss: 0.06805788 ;	Train Accuracy: 97.632 ;	Test Loss: 0.38469728 ; 	Test Accuracy: 89.910 ;
Epoch: 47 ;	Train Loss: 0.07178719 ;	Train Accuracy: 97.558 ;	Test Loss: 0.44016531 ; 	Test Accuracy: 88.660 ;
Epoch: 48 ;	Train Loss: 0.06860191 ;	Train Accuracy: 97.608 ;	Test Loss: 0.36500796 ; 	Test Accuracy: 90.220 ;
Epoch: 49 ;	Train Loss: 0.06500424 ;	Train Accuracy: 97.738 ;	Test Loss: 0.34443908 ; 	Test Accuracy: 90.680 ;
Epoch: 50 ;	Train Loss: 0.06258230 ;	Train Accuracy: 97.832 ;	Test Loss: 0.40443172 ; 	Test Accuracy: 89.430 ;


Best Accuracy: 90.680

Saving Error Plot...

Error Plot saved (ResNet16_1_7_error_plot.png)

