

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet48_1
optimizer          : sgd
learning_rate      : 0.001
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet48_1_1

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [8, 5, 5, 5] 
C (# Channels)	: [64, 128, 128, 128] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 1.74273358 ;	Train Accuracy: 34.682 ;	Test Loss: 1.40061447 ; 	Test Accuracy: 48.090 ;
Epoch: 37 ;	Train Loss: 0.12458558 ;	Train Accuracy: 95.708 ;	Test Loss: 0.49598363 ; 	Test Accuracy: 86.770 ;
Epoch: 38 ;	Train Loss: 0.11726428 ;	Train Accuracy: 95.858 ;	Test Loss: 0.47075787 ; 	Test Accuracy: 86.940 ;
Epoch: 39 ;	Train Loss: 0.11252168 ;	Train Accuracy: 96.032 ;	Test Loss: 0.48698607 ; 	Test Accuracy: 87.110 ;
Epoch: 40 ;	Train Loss: 0.10903242 ;	Train Accuracy: 96.172 ;	Test Loss: 0.50552115 ; 	Test Accuracy: 86.530 ;
Epoch: 41 ;	Train Loss: 0.10287903 ;	Train Accuracy: 96.370 ;	Test Loss: 0.47246574 ; 	Test Accuracy: 88.020 ;
Epoch: 42 ;	Train Loss: 0.10255853 ;	Train Accuracy: 96.390 ;	Test Loss: 0.47630970 ; 	Test Accuracy: 87.290 ;
Epoch: 43 ;	Train Loss: 0.09459961 ;	Train Accuracy: 96.642 ;	Test Loss: 0.50099178 ; 	Test Accuracy: 87.180 ;
Epoch: 44 ;	Train Loss: 0.09889411 ;	Train Accuracy: 96.460 ;	Test Loss: 0.44702451 ; 	Test Accuracy: 88.790 ;
Epoch: 45 ;	Train Loss: 0.09314770 ;	Train Accuracy: 96.692 ;	Test Loss: 0.44880275 ; 	Test Accuracy: 88.440 ;
Epoch: 46 ;	Train Loss: 0.08505422 ;	Train Accuracy: 96.990 ;	Test Loss: 0.44297922 ; 	Test Accuracy: 88.700 ;
Epoch: 47 ;	Train Loss: 0.08075668 ;	Train Accuracy: 97.196 ;	Test Loss: 0.47868334 ; 	Test Accuracy: 88.190 ;
Epoch: 48 ;	Train Loss: 0.08442407 ;	Train Accuracy: 96.980 ;	Test Loss: 0.43022849 ; 	Test Accuracy: 89.130 ;
Epoch: 49 ;	Train Loss: 0.07896832 ;	Train Accuracy: 97.176 ;	Test Loss: 0.50821505 ; 	Test Accuracy: 87.650 ;
Epoch: 50 ;	Train Loss: 0.07259878 ;	Train Accuracy: 97.434 ;	Test Loss: 0.41549130 ; 	Test Accuracy: 89.510 ;


Best Accuracy: 89.510

Saving Error Plot...

Error Plot saved (ResNet48_1_1_error_plot.png)

