

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet16_1
optimizer          : adam
learning_rate      : 0.1
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet16_1_9

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [2, 1, 2, 2] 
C (# Channels)	: [64, 128, 256, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 2.08073162 ;	Train Accuracy: 22.726 ;	Test Loss: 2.68033313 ; 	Test Accuracy: 26.120 ;
Epoch: 47 ;	Train Loss: 1.73137669 ;	Train Accuracy: 33.324 ;	Test Loss: 3.17147812 ; 	Test Accuracy: 25.660 ;
Epoch: 48 ;	Train Loss: 1.74064524 ;	Train Accuracy: 33.136 ;	Test Loss: 5.66048195 ; 	Test Accuracy: 12.200 ;
Epoch: 49 ;	Train Loss: 1.74177510 ;	Train Accuracy: 33.020 ;	Test Loss: 1.91398499 ; 	Test Accuracy: 28.160 ;
Epoch: 50 ;	Train Loss: 1.73558526 ;	Train Accuracy: 33.308 ;	Test Loss: 1.84247482 ; 	Test Accuracy: 29.710 ;


Best Accuracy: 30.300

Saving Error Plot...

Error Plot saved (ResNet16_1_9_error_plot.png)

